GENE,CHR,STRAND,START,STOP,SIZE
ABCC6,16,-,16243421,16317328,73908
ABCC6P1,16,+,18582569,18609607,27039
ABCC6P2,16,-,14916288,14918559,2272
ABCC8,11,-,17414431,17498392,83962
ABCC9,12,-,21950323,22089628,139306
ABCD1,X,+,152990322,153010216,19895
ABCD2,12,-,39945021,40013843,68823
ABCD3,1,+,94883932,94984219,100288
ABCD4,14,-,74751979,74769767,17789
ABCE1,4,+,146019155,146050676,31522
ABCF1,6,+,30539169,30559309,20141
ABCF2,7,-,150904922,150924460,19539
ABCF3,3,+,183903862,183911795,7934
ABCG1,21,+,43619798,43717354,97557
ABCG2,4,-,89011415,89152474,141060
ABCG4,11,+,119019749,119033374,13626
ABCG5,2,-,44039610,44065958,26349
ABCG8,2,+,44066102,44105605,39504
ABHD1,2,+,27346656,27353680,7025
ABHD10,3,+,111697722,111712215,14494
ABHD11,7,-,73150424,73153197,2774
ABHD11-AS1,7,+,73149398,73150330,933
ABHD12,20,-,25275378,25371618,96241
ABHD12B,14,+,51338877,51371688,32812
ABHD13,13,+,108870762,108886603,15842
ABHD14A,3,+,52009041,52015216,6176
ABHD14A-ACY1,3,+,52009041,52023218,14178
ABHD14B,3,-,52002525,52008646,6122
ABHD15,17,-,27887688,27894042,6355
ABHD16A,6,-,31654725,31671137,16413
ABHD16B,20,+,62492565,62494341,1777
ABHD17A,19,-,1876974,1885518,8545
ABHD17B,9,-,74477367,74526148,48782
ABHD17C,15,+,80987651,81047962,60312
ABHD2,15,+,89631380,89745591,114212
ABHD3,18,-,19230857,19284766,53910
ABHD4,14,+,23067146,23081265,14120
ABHD5,3,+,43732374,43764217,31844
ABHD6,3,+,58223258,58280461,57204
ABHD8,19,-,17402939,17414282,11344
ABI1,10,-,27035524,27150016,114493
ABI2,2,+,204192961,204296896,103936
ABI3,17,+,47287588,47300587,13000
ABI3BP,3,-,100468178,100712334,244157
ABL1,9,+,133589267,133763062,173796
ABL2,1,-,179068461,179198819,130359
ABLIM1,10,-,116190868,116444414,253547
ABLIM2,4,-,7967036,8160559,193524
ABLIM3,5,+,148521045,148640001,118957
ABO,9,-,136130562,136150630,20069
ABR,17,-,906757,1090616,183860
ABRA,8,-,107771710,107782472,10763
ABRACL,6,+,139349818,139364439,14622
ABT1,6,+,26597170,26600277,3108
ABTB1,3,+,127391780,127399769,7990
ABTB2,11,-,34172533,34379555,207023
ACAA1,3,-,38164200,38178733,14534
ACAA2,18,-,47309873,47340251,30379
ACACA,17,-,35441926,35766902,324977
ACACB,12,+,109577201,109706030,128830
ACAD10,12,+,112123856,112194911,71056
ACAD11,3,-,132276981,132378975,101995
ACAD8,11,+,134123433,134135746,12314
ACAD9,3,+,128598332,128631957,33626
ACADL,2,-,211052715,211090215,37501
ACADM,1,+,76190031,76229363,39333
ACADS,12,+,121163540,121177811,14272
ACADSB,10,+,124768428,124817806,49379
ACADVL,17,+,7120443,7128586,8144
ACAN,15,+,89346673,89418585,71913
ACAP1,17,+,7239847,7254793,14947
ACAP2,3,-,194995464,195163817,168354
ACAP3,1,-,1227763,1243269,15507
ACAT1,11,+,107992257,108018891,26635
ACAT2,6,+,160182988,160200087,17100
ACBD3,1,-,226332379,226374423,42045
ACBD4,17,+,43209966,43221543,11578
ACBD5,10,-,27484142,27531068,46927
ACBD6,1,-,180257351,180472022,214672
ACBD7,10,-,15117473,15130775,13303
ACCS,11,+,44087728,44105569,17842
ACCSL,11,+,44069530,44081527,11998
ACD,16,-,67691414,67694718,3305
ACE,17,+,61554421,61575741,21321
ACE2,X,-,15579155,15620192,41038
ACER1,19,-,6306509,6333640,27132
ACER2,9,+,19408924,19452500,43577
ACER3,11,+,76571916,76737841,165926
ACHE,7,-,100487614,100493592,5979
ACIN1,14,-,23527773,23564823,37051
ACKR1,1,+,159173802,159176290,2489
ACKR2,3,+,42850963,42908775,57813
ACKR3,2,+,237478379,237490994,12616
ACKR4,3,+,132316080,132321485,5406
ACLY,17,-,40023178,40075272,52095
ACMSD,2,+,135596185,135659602,63418
ACN9,7,+,96745904,96811075,65172
ACO1,9,+,32384600,32450832,66233
ACO2,22,+,41865128,41924993,59866
ACOT1,14,+,74003927,74010498,6572
ACOT11,1,+,55013806,55100417,86612
ACOT12,5,-,80625946,80689988,64043
ACOT13,6,+,24667262,24705295,38034
ACOT2,14,+,74034323,74042362,8040
ACOT4,14,+,74058409,74062470,4062
ACOT6,14,+,74083547,74086592,3046
ACOT7,1,-,6324331,6453826,129496
ACOT8,20,-,44470359,44486048,15690
ACOT9,X,-,23721776,23761407,39632
ACOX1,17,-,73937588,73975515,37928
ACOX2,3,-,58490862,58522929,32068
ACOX3,4,-,8368008,8442452,74445
ACOXL,2,+,111490149,111875799,385651
ACP1,2,+,264868,278282,13415
ACP2,11,-,47260852,47270457,9606
ACP5,19,-,11685474,11689801,4328
ACP6,1,-,147119167,147142634,23468
ACPP,3,+,132036210,132087146,50937
ACPT,19,+,51293671,51298481,4811
ACR,22,+,51176651,51183727,7077
ACRBP,12,-,6747241,6756580,9340
ACRC,X,+,70797873,70833433,35561
ACRV1,11,-,125542228,125550793,8566
ACSBG1,15,-,78463186,78527049,63864
ACSBG2,19,+,6135643,6193114,57472
ACSF2,17,+,48503518,48552206,48689
ACSF3,16,+,89160216,89222254,62039
ACSL1,4,-,185676748,185747268,70521
ACSL3,2,+,223725731,223808119,82389
ACSL4,X,-,108884563,108976621,92059
ACSL5,10,+,114133915,114188138,54224
ACSL6,5,-,131285666,131347761,62096
ACSM1,16,-,20634558,20702578,68021
ACSM2A,16,+,20462858,20498991,36134
ACSM2B,16,-,20548082,20587695,39614
ACSM3,16,+,20775311,20808479,33169
ACSM4,12,+,7456927,7480969,24043
ACSM5,16,+,20420855,20452281,31427
ACSM6,10,+,96953956,96988686,34731
ACSS1,20,-,24986865,25038818,51954
ACSS2,20,+,33462765,33515769,53005
ACSS3,12,+,81471808,81649582,177775
ACTA1,1,-,229566992,229569843,2852
ACTA2,10,-,90694830,90751147,56318
ACTA2-AS1,10,+,90692440,90699731,7292
ACTB,7,-,5566778,5570232,3455
ACTBL2,5,-,56775842,56778636,2795
ACTC1,15,-,35080296,35087927,7632
ACTG1,17,-,79476996,79479892,2897
ACTG1P4,1,+,104112025,104114008,1984
ACTG2,2,+,74120092,74146780,26689
ACTL10,20,+,32254303,32256331,2029
ACTL6A,3,+,179280707,179306193,25487
ACTL6B,7,-,100240725,100254084,13360
ACTL7A,9,+,111624507,111626035,1529
ACTL7B,9,-,111616868,111618275,1408
ACTL8,1,+,18081807,18153558,71752
ACTL9,19,-,8807746,8809180,1435
ACTN1,14,-,69340839,69446083,105245
ACTN1-AS1,14,+,69446398,69454180,7783
ACTN2,1,+,236849753,236927927,78175
ACTN3,11,+,66313865,66330800,16936
ACTN4,19,+,39138266,39221171,82906
ACTR10,14,+,58666832,58702353,35522
ACTR1A,10,-,104238985,104262512,23528
ACTR1B,2,-,98272401,98280561,8161
ACTR2,2,+,65454828,65498390,43563
ACTR3,2,+,114647510,114719129,71620
ACTR3B,7,+,152456833,152552464,95632
ACTR3BP2,2,+,92129158,92130496,1339
ACTR3BP5,10,+,38989726,38991371,1646
ACTR3C,7,-,149944300,150020758,76459
ACTR5,20,+,37377096,37401089,23994
ACTR6,12,+,100593864,100618202,24339
ACTR8,3,-,53901093,53916229,15137
ACTRT1,X,-,127184940,127186382,1443
ACTRT2,1,+,2938045,2939467,1423
ACTRT3,3,-,169484710,169487683,2974
ACVR1,2,-,158592957,158732374,139418
ACVR1B,12,+,52345450,52390863,45414
ACVR1C,2,-,158383278,158485399,102122
ACVR2A,2,+,148602085,148688396,86312
ACVR2B,3,+,38495789,38534633,38845
ACVR2B-AS1,3,-,38492517,38496311,3795
ACVRL1,12,+,52301201,52317145,15945
ACY1,3,+,52017299,52023218,5920
ACY3,11,-,67410025,67418130,8106
ACYP1,14,-,75519927,75536186,16260
ACYP2,2,+,54342409,54532435,190027
ADA,20,-,43248162,43280376,32215
ADAD1,4,+,123300120,123350947,50828
ADAD2,16,+,84224722,84230772,6051
ADAL,15,+,43622553,43646753,24201
ADAM10,15,-,58887402,59042177,154776
ADAM11,17,+,42836567,42859214,22648
ADAM12,10,-,127700953,128077127,376175
ADAM15,1,+,155023747,155035252,11506
ADAM17,2,-,9629410,9695917,66508
ADAM18,8,+,39442086,39587583,145498
ADAM19,5,-,156904311,157002831,98521
ADAM1A,12,+,112336866,112339706,2841
ADAM2,8,-,39601254,39695808,94555
ADAM20,14,-,70989077,71001732,12656
ADAM20P1,14,-,70935595,70950473,14879
ADAM21,14,+,70918873,70926622,7750
ADAM21P1,14,-,70712469,70714518,2050
ADAM22,7,+,87563565,87832204,268640
ADAM23,2,+,207308367,207485854,177488
ADAM28,8,+,24151579,24212726,61148
ADAM29,4,+,175839508,175899331,59824
ADAM30,1,-,120436155,120439147,2993
ADAM32,8,+,38965049,39142436,177388
ADAM33,20,-,3648619,3662778,14160
ADAM3A,8,-,39308563,39380508,71946
ADAM5,8,+,39172181,39260375,88195
ADAM6,14,-,106435817,106438358,2542
ADAM7,8,+,24298508,24367077,68570
ADAM8,10,-,135075919,135090407,14489
ADAM9,8,+,38854504,38962779,108276
ADAMDEC1,8,+,24241797,24263526,21730
ADAMTS1,21,-,28208605,28217728,9124
ADAMTS10,19,-,8645123,8675620,30498
ADAMTS12,5,-,33527286,33892124,364839
ADAMTS13,9,+,136279458,136324525,45068
ADAMTS14,10,+,72432558,72522195,89638
ADAMTS15,11,+,130318868,130346539,27672
ADAMTS16,5,+,5140442,5320412,179971
ADAMTS17,15,-,100511642,100882183,370542
ADAMTS18,16,-,77316024,77469011,152988
ADAMTS19,5,+,128796102,129074376,278275
ADAMTS19-AS1,5,-,128795251,128796382,1132
ADAMTS2,5,-,178537851,178772431,234581
ADAMTS20,12,-,43748011,43945724,197714
ADAMTS3,4,-,73146685,73434516,287832
ADAMTS4,1,-,161159537,161168845,9309
ADAMTS5,21,-,28290230,28339439,49210
ADAMTS6,5,-,64444562,64777704,333143
ADAMTS7,15,-,79051544,79103773,52230
ADAMTS7P1,15,+,82585620,82924242,338623
ADAMTS8,11,-,130274817,130298539,23723
ADAMTS9,3,-,64501330,64673365,172036
ADAMTS9-AS1,3,+,64547021,64575760,28740
ADAMTS9-AS2,3,+,64670545,64997143,326599
ADAMTSL1,9,+,18474078,18910947,436870
ADAMTSL2,9,+,136397285,136440641,43357
ADAMTSL3,15,+,84322837,84708593,385757
ADAMTSL4,1,+,150521844,150533412,11569
ADAMTSL4-AS1,1,-,150533370,150547028,13659
ADAMTSL5,19,-,1505016,1513188,8173
ADAP1,7,-,937536,995043,57508
ADAP2,17,+,29248753,29286211,37459
ADAR,1,-,154554533,154600456,45924
ADARB1,21,+,46494492,46646478,151987
ADARB2,10,-,1223252,1779670,556419
ADARB2-AS1,10,+,1568824,1599179,30356
ADAT1,16,-,75632246,75657221,24976
ADAT2,6,-,143743968,143771841,27874
ADAT3,19,+,1905370,1913446,8077
ADCK1,14,+,78266425,78400297,133873
ADCK2,7,+,140372952,140394908,21957
ADCK3,1,+,227127937,227175246,47310
ADCK4,19,-,41197433,41222790,25358
ADCK5,8,+,145597703,145618453,20751
ADCY1,7,+,45613738,45762714,148977
ADCY10,1,-,167778624,167883464,104841
ADCY10P1,6,+,41068772,41108573,39802
ADCY2,5,+,7396342,7830194,433853
ADCY3,2,-,25042038,25142055,100018
ADCY4,14,-,24787554,24804277,16724
ADCY5,3,-,123001142,123167392,166251
ADCY6,12,-,49159974,49182820,22847
ADCY7,16,+,50300450,50352045,51596
ADCY8,8,-,131792546,132052835,260290
ADCY9,16,-,4012649,4166186,153538
ADCYAP1,18,+,904943,912173,7231
ADCYAP1R1,7,+,31092075,31151093,59019
ADD1,4,+,2845583,2931802,86220
ADD2,2,-,70889215,70995375,106161
ADD3,10,+,111765725,111895323,129599
ADD3-AS1,10,-,111705316,111768139,62824
ADGB,6,+,146920135,147136597,216463
ADH1A,4,-,100197522,100212185,14664
ADH1B,4,-,100227543,100242599,15057
ADH1C,4,-,100257648,100274202,16555
ADH4,4,-,100044832,100065449,20618
ADH5,4,-,99992129,100009939,17811
ADH6,4,-,100123794,100140403,16610
ADH7,4,-,100333417,100356667,23251
ADHFE1,8,+,67344717,67381044,36328
ADI1,2,-,3501689,3523350,21662
ADIG,20,+,37209837,37217104,7268
ADIPOQ,3,+,186560462,186576252,15791
ADIPOQ-AS1,3,-,186569675,186573912,4238
ADIPOR1,1,-,202909952,202927700,17749
ADIPOR2,12,+,1800246,1897845,97600
ADIRF,10,+,88728187,88730666,2480
ADK,10,+,75910942,76469061,558120
ADM,11,+,10326526,10328949,2424
ADM2,22,+,50919984,50924866,4883
ADM5,19,+,50191941,50194247,2307
ADNP,20,-,49505454,49547527,42074
ADNP2,18,+,77866914,77898228,31315
ADNP-AS1,20,+,49547520,49561671,14152
ADO,10,+,64564515,64568239,3725
ADORA1,1,+,203096835,203136533,39699
ADORA2A,22,+,24819564,24838328,18765
ADORA2A-AS1,22,-,24825177,24890783,65607
ADORA2B,17,+,15848230,15879210,30981
ADORA3,1,-,112025969,112106597,80629
ADPGK,15,-,73043707,73076126,32420
ADPGK-AS1,15,+,73075175,73090540,15366
ADPRH,3,+,119298279,119308792,10514
ADPRHL1,13,-,114076254,114107839,31586
ADPRHL2,1,+,36554452,36559533,5082
ADPRM,17,+,10600926,10614875,13950
ADRA1A,8,-,26605666,26722922,117257
ADRA1B,5,+,159343739,159400017,56279
ADRA1D,20,-,4201277,4229659,28383
ADRA2A,10,+,112836789,112840662,3874
ADRA2B,2,-,96778622,96781984,3363
ADRA2C,4,+,3768295,3770253,1959
ADRB1,10,+,115803805,115806667,2863
ADRB2,5,+,148206155,148208197,2043
ADRB3,8,-,37820513,37824184,3672
ADRBK1,11,+,67033904,67054029,20126
ADRBK2,22,+,25960860,26125258,164399
ADRM1,20,+,60877951,60883918,5968
ADSL,22,+,40742503,40762575,20073
ADSS,1,-,244571793,244615436,43644
ADSSL1,14,+,105190533,105213647,23115
ADTRP,6,-,11713887,11779280,65394
AEBP1,7,+,44143959,44154164,10206
AEBP2,12,+,19592607,19675173,82567
AEN,15,+,89164526,89175512,10987
AES,19,-,3052907,3062964,10058
AFAP1,4,-,7760439,7941653,181215
AFAP1-AS1,4,+,7755816,7780654,24839
AFAP1L1,5,+,148651400,148721367,69968
AFAP1L2,10,-,116054582,116164537,109956
AFF1,4,+,87856153,88062206,206054
AFF2,X,+,147582138,148082193,500056
AFF3,2,-,100163715,100759037,595323
AFF4,5,-,132211070,132299354,88285
AFG3L1P,16,+,90038987,90067195,28209
AFG3L2,18,-,12328942,12377275,48334
AFM,4,+,74347461,74369718,22258
AFMID,17,+,76183397,76203782,20386
AFP,4,+,74301935,74321502,19568
AFTPH,2,+,64751438,64820138,68701
AGA,4,-,178351928,178363657,11730
AGAP1,2,+,236402732,237040444,637713
AGAP11,10,+,88730497,88769960,39464
AGAP2,12,-,58118075,58135944,17870
AGAP2-AS1,12,+,58120022,58122139,2118
AGAP3,7,+,150782917,150841523,58607
AGAP4,10,-,46321039,46349325,28287
AGAP5,10,-,75434032,75457554,23523
AGAP6,10,+,51748077,51770259,22183
AGAP7P,10,-,51464150,51486327,22178
AGAP9,10,-,47191843,47213626,21784
AGAP9,10,+,48215723,48237508,21786
AGBL1,15,+,86685241,87572283,887043
AGBL1-AS1,15,-,86840064,86860199,20136
AGBL2,11,-,47681142,47736928,55787
AGBL3,7,+,134671258,134820530,149273
AGBL4,1,-,48998526,50489626,1491101
AGBL4-IT1,1,-,49839872,49937757,97886
AGBL5,2,+,27274490,27293490,19001
AGBL5-AS1,2,-,27272550,27273132,583
AGER,6,-,32148744,32152099,3356
AGFG1,2,+,228336887,228425938,89052
AGFG2,7,+,100136833,100165843,29011
AGGF1,5,+,76326209,76361058,34850
AGK,7,+,141251077,141354209,103133
AGL,1,+,100315639,100389579,73941
AGMAT,1,-,15898193,15911605,13413
AGMO,7,-,15239942,15601640,361699
AGO1,1,+,36348809,36389899,41091
AGO2,8,-,141541263,141645646,104384
AGO3,1,+,36396682,36522063,125382
AGO4,1,+,36273827,36323490,49664
AGPAT1,6,-,32135982,32145888,9907
AGPAT2,9,-,139567594,139581911,14318
AGPAT3,21,+,45285115,45407475,122361
AGPAT4,6,-,161551056,161695107,144052
AGPAT4-IT1,6,-,161581163,161583014,1852
AGPAT5,8,+,6565877,6619021,53145
AGPAT6,8,+,41435706,41482520,46815
AGPAT9,4,+,84457066,84527027,69962
AGPS,2,+,178257470,178408564,151095
AGR2,7,-,16832263,16844738,12476
AGR3,7,-,16899029,16921613,22585
AGRN,1,+,955502,991499,35998
AGRP,16,-,67516473,67517716,1244
AGT,1,-,230838271,230850336,12066
AGTPBP1,9,-,88161453,88356944,195492
AGTR1,3,+,148415657,148460790,45134
AGTR2,X,+,115301957,115306225,4269
AGTRAP,1,+,11796141,11810828,14688
AGXT,2,+,241808161,241818536,10376
AGXT2,5,-,34998205,35048240,50036
AHCTF1,1,-,247002401,247094726,92326
AHCTF1P1,2,-,162355577,162364413,8837
AHCY,20,-,32868070,32899608,31539
AHCYL1,1,+,110527386,110566364,38979
AHCYL2,7,+,128864854,129070052,205199
AHDC1,1,-,27860755,27930005,69251
AHI1,6,-,135605109,135818903,213795
AHNAK,11,-,62201013,62314332,113320
AHNAK2,14,-,105403590,105444694,41105
AHR,7,+,17338275,17385775,47501
AHRR,5,+,304290,438405,134116
AHSA1,14,+,77924372,77935815,11444
AHSA2,2,+,61404554,61414686,10133
AHSG,3,+,186330849,186339107,8259
AHSP,16,+,31539202,31540124,923
AICDA,12,-,8754761,8765442,10682
AIDA,1,-,222841354,222885864,44511
AIF1,6,+,31582993,31584798,1806
AIF1L,9,+,133971862,133998539,26678
AIFM1,X,-,129263337,129299861,36525
AIFM2,10,-,71872022,71892690,20669
AIFM3,22,+,21319417,21335649,16233
AIG1,6,+,143380499,143661480,280982
AIM1,6,+,106959729,107018334,58606
AIM1L,1,-,26648349,26680621,32273
AIM2,1,-,159032274,159046647,14374
AIMP1,4,+,107236766,107270381,33616
AIMP2,7,+,6048881,6063465,14585
AIP,11,+,67250504,67258579,8076
AIPL1,17,-,6327056,6338519,11464
AIRE,21,+,45705720,45718102,12383
AIRN,6,-,160424322,160428696,4375
AJAP1,1,+,4715104,4843851,128748
AJUBA,14,-,23440382,23451851,11470
AK1,9,-,130628758,130640022,11265
AK2,1,-,33473540,33502512,28973
AK3,9,-,4709556,4742043,32488
AK4,1,+,65613231,65697828,84598
AK5,1,+,77747661,78025654,277994
AK6,5,-,68647552,68665840,18289
AK7,14,+,96858447,96955764,97318
AK8,9,-,135600964,135754198,153235
AK9,6,-,109814058,110012415,198358
AKAP1,17,+,55162552,55198710,36159
AKAP10,17,-,19807764,19881169,73406
AKAP11,13,+,42846288,42897403,51116
AKAP12,6,+,151561133,151679694,118562
AKAP13,15,+,85923846,86292589,368744
AKAP14,X,+,119029935,119054679,24745
AKAP17A,X,+,1710485,1721411,10927
AKAP17A,Y,+,1660485,1671411,10927
AKAP2,9,+,112810877,112934791,123915
AKAP3,12,-,4724673,4758213,33541
AKAP4,X,-,49955410,49965664,10255
AKAP5,14,+,64932216,64941221,9006
AKAP6,14,+,32798478,33302268,503791
AKAP7,6,+,131456825,131604675,147851
AKAP8,19,-,15464331,15490612,26282
AKAP8L,19,-,15490858,15529932,39075
AKAP9,7,+,91570188,91739987,169800
AKIP1,11,+,8932700,8941626,8927
AKIRIN1,1,+,39456915,39471737,14823
AKIRIN2,6,-,88384577,88411985,27409
AKNA,9,-,117096432,117156685,60254
AKNAD1,1,-,109358519,109400864,42346
AKR1A1,1,+,46016454,46035723,19270
AKR1B1,7,-,134127106,134143888,16783
AKR1B10,7,+,134212343,134226166,13824
AKR1B15,7,+,134233848,134264592,30745
AKR1C1,10,+,5005453,5020158,14706
AKR1C2,10,-,5029967,5060225,30259
AKR1C3,10,+,5090957,5149878,58922
AKR1C4,10,+,5238797,5260910,22114
AKR1C6P,10,-,4913858,4958465,44608
AKR1C8P,10,-,5196654,5227150,30497
AKR1D1,7,+,137761177,137803050,41874
AKR1E2,10,+,4868368,4890251,21884
AKR7A2,1,-,19629201,19638640,9440
AKR7A2P1,1,+,113465971,113467295,1325
AKR7A3,1,-,19609056,19615280,6225
AKR7L,1,-,19592475,19600568,8094
AKT1,14,-,105235686,105262080,26395
AKT1S1,19,-,50372289,50381613,9325
AKT2,19,-,40736223,40791302,55080
AKT3,1,-,243651534,244006886,355353
AKTIP,16,-,53525191,53537170,11980
ALAD,9,-,116148591,116163618,15028
ALAS1,3,+,52232098,52248343,16246
ALAS2,X,-,55035487,55057497,22011
ALB,4,+,74269971,74287129,17159
ALCAM,3,+,105085556,105295757,210202
ALDH16A1,19,+,49956472,49974305,17834
ALDH18A1,10,-,97365685,97416567,50883
ALDH1A1,9,-,75515577,75568233,52657
ALDH1A2,15,-,58245621,58358121,112501
ALDH1A3,15,+,101419896,101456830,36935
ALDH1B1,9,+,38392660,38398662,6003
ALDH1L1,3,-,125822403,125900029,77627
ALDH1L1-AS1,3,+,125822482,125826912,4431
ALDH1L1-AS2,3,+,125898907,125929011,30105
ALDH1L2,12,-,105413561,105478341,64781
ALDH2,12,+,112204690,112247789,43100
ALDH3A1,17,-,19641297,19651746,10450
ALDH3A2,17,+,19552063,19580908,28846
ALDH3B1,11,+,67776016,67796749,20734
ALDH3B2,11,-,67429632,67448685,19054
ALDH4A1,1,-,19197923,19229293,31371
ALDH5A1,6,+,24495196,24537435,42240
ALDH6A1,14,-,74524367,74551196,26830
ALDH7A1,5,-,125877532,125931082,53551
ALDH8A1,6,-,135238527,135271260,32734
ALDH9A1,1,-,165631448,165667900,36453
ALDOA,16,+,30064410,30081741,17332
ALDOB,9,-,104182841,104198062,15222
ALDOC,17,-,26900132,26903951,3820
ALG1,16,+,5121809,5137380,15572
ALG10,12,+,34175215,34181236,6022
ALG10B,12,+,38710556,38723528,12973
ALG11,13,+,52586522,52603780,17259
ALG12,22,-,50296853,50312106,15254
ALG13,X,+,110924345,111003875,79531
ALG14,1,-,95448278,95538507,90230
ALG1L,3,-,125648117,125655887,7771
ALG1L2,3,+,129800673,129817233,16561
ALG1L9P,11,-,71505408,71524905,19498
ALG2,9,-,101978706,101984246,5541
ALG3,3,-,183960116,183967313,7198
ALG5,13,-,37523907,37573504,49598
ALG6,1,+,63833260,63904233,70974
ALG8,11,-,77811987,77850699,38713
ALG9,11,-,111652918,111742305,89388
ALK,2,-,29415639,30144477,728839
ALKBH1,14,-,78138748,78174356,35609
ALKBH2,12,-,109525992,109531293,5302
ALKBH3,11,+,43902356,43941825,39470
ALKBH3-AS1,11,-,43930838,43942494,11657
ALKBH4,7,-,102096666,102105321,8656
ALKBH5,17,+,18086866,18113267,26402
ALKBH6,19,-,36500017,36505145,5129
ALKBH7,19,+,6372443,6375261,2819
ALKBH8,11,-,107373452,107436461,63010
ALLC,2,+,3705785,3750260,44476
ALMS1,2,+,73612885,73837046,224162
ALMS1-IT1,2,+,73684229,73686604,2376
ALMS1P,2,+,73872045,73912694,40650
ALOX12,17,+,6899383,6914055,14673
ALOX12-AS1,17,-,6888441,6915653,27213
ALOX12B,17,-,7975953,7991021,15069
ALOX12P2,17,+,6756894,6803668,46775
ALOX15,17,-,4534213,4544960,10748
ALOX15B,17,+,7942357,7952451,10095
ALOX15P1,17,+,6561037,6564701,3665
ALOX5,10,+,45869623,45941567,71945
ALOX5AP,13,+,31287614,31338565,50952
ALOXE3,17,-,7999217,8022234,23018
ALPI,2,+,233320832,233324742,3911
ALPK1,4,+,113218498,113363764,145267
ALPK2,18,-,56148481,56296189,147709
ALPK3,15,+,85359910,85416713,56804
ALPL,1,+,21835857,21904905,69049
ALPP,2,+,233243347,233247599,4253
ALPPL2,2,+,233271551,233275424,3874
ALS2,2,-,202564985,202645895,80911
ALS2CL,3,-,46710484,46735194,24711
ALS2CR11,2,-,202352143,202483905,131763
ALS2CR12,2,-,202152993,202222121,69129
ALX1,12,+,85674035,85695561,21527
ALX3,1,-,110602996,110613322,10327
ALX4,11,-,44282277,44331716,49440
ALYREF,17,-,79845710,79849462,3753
AMACR,5,-,33987090,34008220,21131
AMBN,4,+,71457974,71473004,15031
AMBP,9,-,116822407,116840752,18346
AMBRA1,11,-,46417961,46615619,197659
AMD1,6,+,111135823,111216915,81093
AMDHD1,12,+,96337070,96362370,25301
AMDHD2,16,+,2570362,2580955,10594
AMELX,X,+,11311532,11318881,7350
AMELY,Y,-,6733958,6742068,8111
AMER1,X,-,63404996,63425624,20629
AMER2,13,-,25735816,25746421,10606
