GENE,CHR,START,STOP,STRAND,SIZE
RP11-465B22.5,1,1062260,1069299,+,7040
MIR200B,1,1092347,1092441,+,95
MIR200A,1,1093106,1093195,+,90
MIR429,1,1094248,1094330,+,83
TTLL10-AS1,1,1098299,1104798,-,6500
TTLL10,1,1099127,1123178,+,24052
TNFRSF18,1,1128751,1131934,-,3184
TNFRSF4,1,1136569,1139381,-,2813
SDF4,1,1142151,1157274,-,15124
B3GALT6,1,1157492,1160284,+,2793
FAM132A,1,1167689,1171965,-,4277
RP5-902P8.12,1,1175020,1176577,-,1558
UBE2J2,1,1179152,1199128,-,19977
RP5-902P8.10,1,1200466,1205663,+,5198
SCNN1D,1,1205679,1217272,+,11594
ACAP3,1,1217619,1234852,-,17234
PUSL1,1,1233810,1236920,+,3111
CPSF3L,1,1236828,1249934,-,13107
RP5-890O3.9,1,1242824,1243932,-,1109
GLTPD1,1,1249999,1254140,+,4142
TAS1R3,1,1256557,1260549,+,3993
DVL1,1,1260519,1274593,-,14075
MXRA8,1,1277932,1287020,-,9089
AURKAIP1,1,1298973,1300738,-,1766
RP5-890O3.3,1,1303909,1304275,+,367
CCNL2,1,1310954,1324571,-,13618
RP4-758J18.2,1,1324765,1327289,+,2525
MRPL20,1,1327151,1332556,-,5406
Metazoa_SRP,1,1330704,1330995,-,292
ANKRD65,1,1343663,1347012,-,3350
RP4-758J18.7,1,1345488,1347934,+,2447
TMEM88B,1,1351371,1353030,+,1660
RP4-758J18.10,1,1355782,1359816,-,4035
VWA1,1,1360104,1368125,+,8022
ATAD3C,1,1374932,1395401,+,20470
ATAD3B,1,1397006,1423091,+,26086
ATAD3A,1,1437394,1459930,+,22537
TMEM240,1,1460417,1465696,-,5280
SSU72,1,1466916,1500112,-,33197
AL645728.2,1,1487589,1489767,-,2179
AL645728.1,1,1500218,1501236,+,1019
AL645728.3,1,1504999,1505242,+,244
C1orf233,1,1523255,1525339,-,2085
MIB2,1,1540658,1555853,+,15196
MMP23B,1,1557337,1560502,+,3166
CDK11B,1,1560466,1580336,-,19871
SLC35E2B,1,1582802,1614027,-,31226
RP11-345P4.7,1,1593292,1594713,+,1422
RP11-345P4.6,1,1594577,1595699,+,1123
MMP23A,1,1621229,1623109,+,1881
CDK11A,1,1624029,1645626,-,21598
RP1-283E3.8,1,1624035,1658987,-,34953
RP1-283E3.4,1,1645811,1658550,+,12740
SLC35E2,1,1646137,1667291,-,21155
NADK,1,1672531,1701756,-,29226
GNB1,1,1706589,1812355,-,105767
RP1-140A9.1,1,1812770,1813957,+,1188
CALML6,1,1836126,1838595,+,2470
TMEM52,1,1838889,1840572,-,1684
C1orf222,1,1843256,1925136,-,81881
RP11-547D24.1,1,1934512,1936829,-,2318
GABRD,1,1940640,1952052,+,11413
RP11-547D24.3,1,1970502,1971369,-,868
PRKCZ,1,1971769,2106694,+,134926
RP11-181G12.2,1,2103093,2105688,-,2596
C1orf86,1,2105763,2134019,-,28257
AL590822.2,1,2111097,2113039,+,1943
AL590822.1,1,2133220,2135480,-,2261
RP11-181G12.5,1,2133470,2133873,-,404
RP11-181G12.4,1,2133822,2142037,+,8216
SKI,1,2149994,2231418,+,81425
MORN1,1,2242552,2313006,-,70455
AL589739.1,1,2248441,2248902,+,462
RP4-740C4.6,1,2271713,2274119,-,2407
RP4-740C4.5,1,2272943,2273156,-,214
AL513477.1,1,2306671,2309782,+,3112
RER1,1,2313127,2325050,+,11924
PEX10,1,2326096,2335096,-,9001
PLCH2,1,2347279,2426829,+,79551
RP3-395M20.2,1,2413599,2414557,-,959
RP3-395M20.3,1,2414736,2415778,-,1043
PANK4,1,2429832,2447899,-,18068
HES5,1,2450044,2451544,-,1501
TNFRSF14,1,2477596,2487339,-,9744
RP3-395M20.9,1,2502859,2505832,+,2974
FAM213B,1,2507790,2512768,+,4979
MMEL1,1,2511938,2554341,-,42404
RP13-436F16.1,1,2553867,2557919,+,4053
RP11-740P5.2,1,2718275,2719117,-,843
RP11-740P5.3,1,2720857,2721423,-,567
ACTRT2,1,2927906,2929325,+,1420
RP1-163G9.1,1,2966039,2974861,-,8823
AL008733.1,1,2968383,2968819,-,437
PRDM16,1,2975592,3345045,+,369454
RP1-163G9.2,1,3039351,3040133,-,783
ARHGEF16,1,3360850,3387537,+,26688
MEGF6,1,3396344,3517919,-,121576
MIR551A,1,3467119,3467214,-,96
RP11-46F15.2,1,3529614,3531167,-,1554
TPRG1L,1,3531426,3536551,+,5126
WRAP73,1,3537191,3559185,-,21995
TP73,1,3558944,3642625,+,83682
RP5-1092A11.5,1,3565362,3575196,-,9835
RP5-1092A11.2,1,3618624,3620722,-,2099
TP73-AS1,1,3642408,3653760,-,11353
CCDC27,1,3658822,3678069,+,19248
SMIM1,1,3679212,3682406,+,3195
LRRC47,1,3686644,3702928,-,16285
Metazoa_SRP,1,3689239,3689533,+,295
CEP104,1,3718505,3763638,-,45134
DFFB,1,3763705,3791853,+,28149
AL691523.1,1,3790488,3790557,+,70
C1orf174,1,3795549,3806717,-,11169
RP13-15E13.1,1,3806796,3823649,+,16854
RP13-614K11.1,1,3900533,3915182,+,14650
RP13-614K11.2,1,3907069,3908900,-,1832
RP11-374C13.1,1,4135448,4135819,-,372
RP5-1166F10.1,1,4371971,4384607,+,12637
RP1-37J18.1,1,4511655,4512065,-,411
RP1-37J18.2,1,4531468,4543341,+,11874
AJAP1,1,4614652,4743710,+,129059
RP11-542C10.1,1,5046379,5050819,-,4441
RP1-58B11.1,1,5475625,5477321,+,1697
MIR4417,1,5546718,5546790,+,73
RP11-154H17.1,1,5570015,5650942,-,80928
AL356693.1,1,5798518,5798606,-,89
MIR4689,1,5845319,5845388,-,70
NPHP4,1,5845458,5975120,-,129663
AL356261.1,1,5876486,5876571,-,86
KCNAB2,1,5974113,6083840,+,109728
AL035406.1,1,6023217,6023986,-,770
CHD5,1,6084440,6162770,-,78331
RPL22,1,6163916,6192036,-,28121
RP1-120G22.11,1,6187487,6188427,-,941
RNF207,1,6188122,6203946,+,15825
ICMT,1,6203840,6218619,-,14780
LINC00337,1,6218887,6222091,+,3205
HES3,1,6226839,6228225,+,1387
GPR153,1,6229993,6243622,-,13630
ACOT7,1,6246920,6377038,-,130119
HES2,1,6395065,6407317,-,12253
ESPN,1,6407435,6444017,+,36583
MIR4252,1,6412481,6412543,-,63
RP1-202O8.2,1,6425681,6429653,-,3973
TNFRSF25,1,6443798,6448842,-,5045
PLEKHG5,1,6448739,6502708,-,53970
NOL9,1,6503994,6537182,-,33189
U6,1,6523501,6523611,+,111
RP11-58A11.2,1,6530552,6531266,+,715
TAS1R1,1,6537828,6562404,+,24577
ZBTB48,1,6562648,6571927,+,9280
KLHL21,1,6573371,6597254,-,23884
PHF13,1,6596332,6606680,+,10349
THAP3,1,6607513,6618233,+,10721
DNAJC11,1,6616815,6684571,-,67757
RP11-242F24.1,1,6707284,6712659,+,5376
snoU13,1,6735366,6735468,+,103
RP11-312B8.1,1,6766539,6767490,-,952
CAMTA1,1,6767971,7752353,+,984383
RP11-312B8.2,1,6816980,6817265,-,286
RP11-334N17.1,1,6991023,6996926,-,5904
U1,1,7202007,7202171,+,165
CAMTA1-IT1,1,7351590,7352918,+,1329
RP3-453P22.2,1,7365135,7372401,-,7267
RP4-549F15.1,1,7423743,7424201,-,459
RP11-338N10.1,1,7675771,7677491,-,1721
RP11-338N10.2,1,7680950,7681519,-,570
RP11-338N10.3,1,7683351,7683617,-,267
VAMP3,1,7753916,7764079,+,10164
RP3-467L1.6,1,7759030,7759422,+,393
PER3,1,7766967,7827824,+,60858
RP3-467L1.4,1,7792889,7809989,-,17101
UTS2,1,7825730,7836159,-,10430
TNFRSF9,1,7902494,7923513,-,21020
PARK7,1,7936938,7968152,+,31215
Y_RNA,1,7965528,7965630,-,103
ERRFI1,1,7987051,8008955,-,21905
RP11-431K24.1,1,8009385,8105349,+,95965
CTA-215D11.4,1,8039892,8041110,-,1219
RP11-431K24.2,1,8172471,8175417,+,2947
U1,1,8189081,8189244,-,164
RP11-431K24.3,1,8191319,8197857,+,6539
RP11-431K24.4,1,8200837,8203176,-,2340
Metazoa_SRP,1,8257771,8258025,-,255
U6,1,8274804,8274910,-,107
SLC45A1,1,8300473,8326814,+,26342
Y_RNA,1,8310714,8310826,+,113
RERE,1,8335044,8800289,-,465246
RP5-1115A15.1,1,8407292,8417485,+,10194
SNORA77,1,8494441,8494565,-,125
RP4-633I8.1,1,8733076,8733733,+,658
RP4-633I8.2,1,8768857,8769559,-,703
Y_RNA,1,8779220,8779318,-,99
RP4-633I8.3,1,8781121,8782152,+,1032
RP4-633I8.4,1,8788506,8789697,+,1192
RP11-185B14.1,1,8813653,8814021,+,369
ENO1,1,8843648,8861895,-,18248
ENO1-IT1,1,8858434,8860653,-,2220
ENO1-AS1,1,8861481,8862540,+,1060
U6,1,8866073,8866179,-,107
HMGN2P17,1,8876055,8876797,+,743
RP3-477M7.5,1,8890039,8890390,-,352
RP3-477M7.6,1,8892388,8892550,+,163
CA6,1,8928509,8957738,+,29230
Metazoa_SRP,1,8962224,8962520,-,297
SLC2A7,1,8985946,9008991,-,23046
SLC2A5,1,9017753,9071124,-,53372
SCARNA16,1,9065342,9065525,+,184
GPR157,1,9082951,9111816,-,28866
MIR34A,1,9134314,9134423,-,110
RP3-510D11.1,1,9150914,9185265,-,34352
RP3-510D11.2,1,9164858,9166442,+,1585
H6PD,1,9217421,9253983,+,36563
Z98044.1,1,9261037,9261179,+,143
SPSB1,1,9275526,9352178,+,76653
RNA5SP40,1,9420315,9420424,-,110
RP13-392I16.1,1,9483738,9486117,-,2380
SLC25A33,1,9522128,9565418,+,43291
RP13-15M17.1,1,9559072,9559630,+,559
TMEM201,1,9571519,9597522,+,26004
PIK3CD,1,9634377,9711759,+,77383
C1orf200,1,9635255,9637231,-,1977
RP11-558F24.2,1,9643473,9645271,-,1799
RP11-558F24.4,1,9655071,9670200,-,15130
CLSTN1,1,9711671,9807171,-,95501
CTNNBIP1,1,9830921,9892981,-,62061
RP11-84A14.5,1,9830963,9832799,+,1837
LZIC,1,9904760,9926052,-,21293
RP11-84A14.4,1,9925568,9932619,+,7052
NMNAT1,1,9926073,9968146,+,42074
7SK,1,9929963,9930281,+,319
MIR5697,1,9950026,9950103,+,78
RP11-807G9.2,1,9965786,9967213,+,1428
RBP7,1,9979851,9998665,+,18815
AL590639.1,1,10000672,10001179,-,508
UBE4B,1,10015477,10163884,+,148408
RP11-496H15.2,1,10037090,10037426,-,337
PGAM1P11,1,10041316,10042293,+,978
U6,1,10145913,10146019,+,107
KIF1B,1,10193450,10364248,+,170799
MIR1273D,1,10210363,10210448,+,86
RNU6-37,1,10281611,10281717,+,107
Metazoa_SRP,1,10289110,10289400,+,291
Metazoa_SRP,1,10372646,10372940,+,295
PGD,1,10381236,10402788,+,21553
APITD1,1,10412746,10434797,+,22052
APITD1-CORT,1,10412746,10434797,+,22052
CORT,1,10432363,10434546,+,2184
DFFA,1,10439166,10455170,-,16005
RP5-1113E3.3,1,10441199,10441982,+,784
PEX14,1,10454932,10613402,+,158471
Metazoa_SRP,1,10599480,10599757,+,278
CASZ1,1,10619248,10779294,-,160047
RP11-340B24.3,1,10878405,10878642,+,238
C1orf127,1,10929115,10964681,-,35567
CFL1P6,1,10973622,10974441,-,820
AL713997.1,1,10980820,10980907,-,88
Y_RNA,1,10982506,10982589,-,84
TARDBP,1,10995001,11008383,+,13383
MASP2,1,11009167,11029877,-,20711
SRM,1,11037228,11042668,-,5441
EXOSC10,1,11049262,11082525,-,33264
RP4-635E18.7,1,11051115,11055741,+,4627
RP4-635E18.6,1,11082319,11084744,+,2426
MTOR,1,11089179,11245151,-,155973
MTOR-AS1,1,11126542,11132181,+,5640
U6,1,11134994,11135096,+,103
snoU13,1,11152151,11152257,-,107
ANGPTL7,1,11171985,11178625,+,6641
U6,1,11208898,11209004,+,107
RPL39P6,1,11215607,11215756,+,150
UBIAD1,1,11255850,11278693,+,22844
UBE2V2P3,1,11261260,11261995,-,736
RP11-149P14.1,1,11407901,11408465,-,565
PTCHD2,1,11461810,11520228,+,58419
RP1-69M21.2,1,11592175,11595999,+,3825
FBXO2,1,11631011,11638429,-,7419
FBXO44,1,11637019,11645971,+,8953
FBXO6,1,11646768,11656998,+,10231
MAD2L2,1,11657124,11674294,-,17171
DRAXIN,1,11674373,11708501,+,34129
AGTRAP,1,11718728,11737446,+,18719
C1orf167,1,11744431,11772229,+,27799
RP11-56N19.5,1,11759721,11762263,-,2543
MTHFR,1,11768367,11789564,-,21198
CLCN6,1,11788794,11825788,+,36995
NPPA-AS1,1,11823661,11830723,+,7063
NPPA,1,11828353,11830989,-,2637
NPPB,1,11840108,11841575,-,1468
RP5-934G17.6,1,11860414,11863050,+,2637
RNU5E-1,1,11890796,11890915,+,120
RNU5E-4P,1,11892452,11892571,-,120
KIAA2013,1,11902235,11909072,-,6838
PLOD1,1,11916849,11958182,+,41334
MFN2,1,11962825,11996158,+,33334
MIIP,1,12002110,12014689,+,12580
Y_RNA,1,12006656,12006768,-,113
Metazoa_SRP,1,12019386,12019658,-,273
TNFRSF8,1,12046021,12126851,+,80831
U6,1,12060525,12060628,-,104
RP11-426M1.2,1,12062937,12063191,-,255
TNFRSF1B,1,12149647,12191872,+,42226
MIR4632,1,12174357,12174417,+,61
RP5-1118D24.2,1,12203438,12203753,-,316
SNORA70,1,12203792,12203915,-,124
VPS13D,1,12212711,12494686,+,281976
SNORA59A,1,12489887,12490038,+,152
RP5-888M10.2,1,12510353,12511049,+,697
DHRS3,1,12550526,12600324,-,49799
U6atac,1,12552587,12552687,-,101
AADACL4,1,12627153,12649684,+,22532
RP11-474O21.2,1,12675512,12675623,+,112
AADACL3,1,12698705,12711313,+,12609
snoU13,1,12722280,12722383,+,104
C1orf158,1,12728750,12746434,+,17685
PRAMEF12,1,12757571,12760636,+,3066
PRAMEF1,1,12774133,12779364,+,5232
RP5-845O24.8,1,12805136,12805609,-,474
PRAMEF11,1,12807055,12813851,-,6797
RP5-845O24.3,1,12820565,12823797,-,3233
HNRNPCL1,1,12829848,12831165,-,1318
PRAMEF2,1,12839528,12844351,+,4824
PRAMEF4,1,12861632,12868612,-,6981
PRAMEF10,1,12875314,12880688,-,5375
PRAMEF7,1,12899037,12903156,+,4120
U6,1,12904961,12905067,+,107
RP11-450I1.2,1,12908577,12910668,+,2092
RP11-450I1.4,1,12935553,12938342,-,2790
PRAMEF22,1,12958130,12960968,+,2839
WI2-3308P17.2,1,12974981,12975585,-,605
RP13-221M14.6,1,13045833,13048673,-,2841
RP13-221M14.1,1,13063043,13067587,+,4545
RP13-221M14.2,1,13069364,13069843,+,480
RP13-221M14.3,1,13085232,13088030,-,2799
RP13-221M14.4,1,13094458,13095744,-,1287
RP13-221M14.5,1,13105547,13106913,-,1367
WI2-2994D6.1,1,13118857,13121654,+,2798
WI2-2994D6.2,1,13138943,13142168,-,3226
PRAMEF3,1,13200783,13204279,-,3497
RP11-248D7.2,1,13224069,13226910,+,2842
PRAMEF5,1,13232406,13241644,+,9239
RP11-219C24.8,1,13251736,13253824,-,2089
U6,1,13257322,13257428,-,107
PRAMEF8,1,13259233,13263352,-,4120
RP11-219C24.6,1,13284138,13287069,+,2932
PRAMEF9,1,13293763,13300778,+,7016
RP11-219C24.10,1,13302221,13302700,+,480
PRAMEF13,1,13320001,13325243,-,5243
PRAMEF18,1,13347276,13350109,-,2834
PRAMEF16,1,13367841,13370847,+,3007
PRAMEF21,1,13388653,13399530,+,10878
XX-FW84067D5.1,1,13480018,13484137,-,4120
XX-FW84067D5.2,1,13504935,13507866,+,2932
PRAMEF15,1,13514560,13521575,+,7016
PRAMEF14,1,13540856,13546098,-,5243
PRAMEF19,1,13567476,13570992,-,3517
PRAMEF17,1,13588679,13591676,+,2998
PRAMEF20,1,13609494,13620390,+,10897
LRRC38,1,13674032,13713130,-,39099
RP4-597A16.2,1,13712302,13715352,+,3051
RP4-597A16.3,1,13754083,13754776,+,694
PDPN,1,13782547,13817039,+,34493
RNA5SP41,1,13822266,13822366,-,101
AL359771.1,1,13822984,13823084,-,101
CTA-520D8.2,1,13856393,13858992,-,2600
SCARNA11,1,13895152,13895281,-,130
PRDM2,1,13899280,14024161,+,124882
U6,1,14323315,14323417,-,103
RP11-344F13.1,1,14420973,14422200,-,1228
RP4-704D23.1,1,14548037,14550105,-,2069
KAZN,1,14797787,15317126,+,519340
TBCAP2,1,14891212,14891696,-,485
TMEM51-AS1,1,15315035,15351547,-,36513
TMEM51,1,15351615,15419563,+,67949
C1orf195,1,15363427,15370400,-,6974
RP1-21O18.3,1,15390911,15391928,-,1018
FHAD1,1,15446355,15599445,+,153091
RP3-467K16.2,1,15525763,15542959,-,17197
RP3-467K16.7,1,15533249,15534547,-,1299
RP3-467K16.4,1,15602062,15608516,-,6455
EFHD2,1,15608978,15629426,+,20449
CTRC,1,15637522,15648324,+,10803
CELA2A,1,15655810,15671173,+,15364
CELA2B,1,15664991,15690482,+,25492
CASP9,1,15689914,15725616,-,35703
DNAJC16,1,15725895,15791461,+,65567
SCARNA21,1,15741247,15741386,+,140
AGMAT,1,15771435,15784192,-,12758
RP4-680D5.2,1,15785218,15802708,-,17491
CHCHD2P6,1,15803664,15804125,+,462
U7,1,15807160,15807227,-,68
RP4-680D5.4,1,15813725,15813949,-,225
DDI2,1,15816582,15868126,+,51545
RSC1A1,1,15858951,15860804,+,1854
PLEKHM2,1,15883414,15933851,+,50438
AL121992.1,1,15883554,15883640,+,87
RP11-288I21.1,1,15921801,15935978,-,14178
SLC25A34,1,15935487,15940478,+,4992
RP11-169K16.4,1,15939133,15948978,-,9846
TMEM82,1,15941504,15947064,+,5561
FBLIM1,1,15955689,15985676,+,29988
RP11-169K16.6,1,15991878,15992367,+,490
RP11-169K16.7,1,16006266,16006781,-,516
RP11-169K16.8,1,16027311,16027754,+,444
RP11-169K16.9,1,16033147,16047229,-,14083
SPEN,1,16046946,16139542,+,92597
snoU13,1,16109979,16110079,+,101
ZBTB17,1,16140951,16175214,-,34264
RP11-5P18.1,1,16168714,16169276,+,563
RP11-5P18.3,1,16187264,16187523,+,260
TBC1D3P6,1,16188953,16193833,+,4881
C1orf64,1,16203318,16207889,+,4572
RP11-5P18.5,1,16205242,16205753,-,512
HSPB7,1,16213110,16218676,-,5567
CLCNKA,1,16217957,16233132,+,15176
RP11-5P18.10,1,16234260,16239111,-,4852
CLCNKB,1,16242859,16256390,+,13532
FAM131C,1,16256851,16272714,-,15864
EPHA2,1,16323419,16355169,-,31751
RP11-276H7.2,1,16354293,16356411,+,2119
RP11-276H7.3,1,16358348,16360965,+,2618
ARHGEF19,1,16396936,16411727,-,14792
ARHGEF19-AS1,1,16396936,16397439,+,504
ANO7L1,1,16414991,16427109,-,12119
C1orf134,1,16427955,16428625,-,671
RSG1,1,16430782,16436033,-,5252
MT1XP1,1,16440295,16440480,-,186
FBXO42,1,16445921,16551536,-,105616
SZRD1,1,16551657,16597227,+,45571
RP11-430L17.1,1,16568232,16568612,-,381
SPATA21,1,16586199,16636506,-,50308
NECAP2,1,16639754,16659160,+,19407
RP4-798A10.2,1,16660030,16667563,+,7534
CROCCP3,1,16666518,16698339,-,31822
RNU1-1,1,16713204,16713367,-,164
RP4-798A10.7,1,16713727,16714836,+,1110
RP4-798A10.4,1,16719776,16720878,+,1103
RP5-875O13.1,1,16732968,16734731,-,1764
U1,1,16733163,16733306,-,144
AL355149.2,1,16738148,16738657,+,510
RP5-875O13.6,1,16747733,16751613,-,3881
AL355149.1,1,16747996,16748069,+,74
NBPF1,1,16761510,16812670,-,51161
CROCCP2,1,16817338,16843765,-,26428
MST1P2,1,16844656,16849501,+,4846
RNU1-3,1,16865867,16866030,-,164
AL137798.1,1,16872085,16872594,+,510
AL021920.1,1,16880337,16880410,+,74
EIF1AXP1,1,16884703,16885137,-,435
ESPNP,1,16886421,16919239,-,32819
AL021920.2,1,16933034,16933543,-,510
RNU1-4,1,16939598,16939761,+,164
CROCCP4,1,16949315,16950046,+,732
MST1L,1,16953992,16969319,-,15328
RP11-108M9.1,1,17050339,17052211,-,1873
RP11-108M9.2,1,17054489,17058366,+,3878
MIR3675,1,17058031,17058103,-,73
RP11-108M9.3,1,17070027,17073174,+,3148
U1,1,17072790,17072933,+,144
RP11-108M9.4,1,17087620,17088731,-,1112
RP11-108M9.5,1,17088177,17088684,+,508
RNU1-2,1,17095062,17095225,+,164
MFAP2,1,17173584,17179917,-,6334
RP1-37C10.3,1,17178008,17204173,+,26166
ATP13A2,1,17185040,17211010,-,25971
SDHB,1,17217804,17253252,-,35449
PADI2,1,17265843,17318535,-,52693
Y_RNA,1,17357279,17357366,+,88
RP11-380J14.1,1,17388865,17396699,+,7835
PADI1,1,17404208,17445087,+,40880
PADI3,1,17448180,17483315,+,35136
MIR3972,1,17476971,17477057,+,87
PADI4,1,17507277,17563086,+,55810
AC004824.2,1,17528094,17548657,-,20564
PADI6,1,17571278,17600782,+,29505
RCC2,1,17605843,17638807,-,32965
RP1-20B21.4,1,17605843,17606465,+,623
AC004824.1,1,17612714,17612777,-,64
snoU13,1,17648846,17648946,+,101
ARHGEF10L,1,17738917,17896956,+,158040
RP11-473A10.2,1,17916769,17949060,+,32292
ACTL8,1,17954395,18026145,+,71751
RP11-174G17.2,1,18264738,18273493,+,8756
IGSF21,1,18306827,18577564,+,270738
RP11-174G17,1,18366010,18378427,-,12418
RP11-422P22.1,1,18584910,18587595,+,2686
KLHDC7A,1,18680011,18685065,+,5055
RP1-8B22.1,1,18712199,18712468,+,270
RP1-8B22.2,1,18794495,18794717,+,223
PAX7,1,18830087,18947947,+,117861
TAS1R2,1,19038680,19058763,-,20084
RP13-279N23.2,1,19048354,19120202,-,71849
ALDH4A1,1,19070513,19101862,-,31350
MIR4695,1,19082283,19082356,-,74
MIR1290,1,19096152,19096229,-,78
IFFO2,1,19103362,19155767,-,52406
UBR4,1,19273587,19409357,-,135771
AL137127.1,1,19282633,19282732,-,100
RP1-43E13.2,1,19409582,19439785,+,30204
EMC1,1,19414745,19450633,-,35889
MRTO4,1,19450620,19459209,+,8590
AKR7L,1,19465063,19473275,-,8213
AKR7A3,1,19481639,19488331,-,6693
AKR7A2,1,19503046,19511227,-,8182
U6,1,19504157,19504263,-,107
PQLC2,1,19511407,19528381,+,16975
Metazoa_SRP,1,19518886,19519141,-,256
CAPZB,1,19537854,19684653,-,146800
Metazoa_SRP,1,19623465,19623750,+,286
U4,1,19709674,19709814,+,141
snoU13,1,19731251,19731355,-,105
RP5-1056L3.1,1,19790883,19795913,-,5031
NBL1,1,19796060,19857136,+,61077
MINOS1,1,19796064,19828901,+,32838
RP5-1056L3.3,1,19807195,19807649,+,455
NBL1,1,19839635,19857532,+,17898
HTR6,1,19864367,19878642,+,14276
TMCO4,1,19881293,19999025,-,117733
RNF186,1,20013110,20014358,-,1249
RP11-91K11.2,1,20013447,20018582,+,5136
OTUD3,1,20081593,20112025,+,30433
PLA2G2E,1,20119089,20122697,-,3609
Metazoa_SRP,1,20170049,20170347,+,299
PLA2G2A,1,20174512,20179519,-,5008
PLA2G5,1,20227259,20290270,+,63012
PLA2G2D,1,20311019,20318637,-,7619
PLA2G2F,1,20338406,20349466,+,11061
RP3-340N1.2,1,20353418,20359648,+,6231
PLA2G2C,1,20360333,20376504,-,16172
RP3-340N1.5,1,20383322,20385566,-,2245
UBXN10,1,20385165,20395128,+,9964
RP3-340N1.6,1,20442175,20443735,+,1561
VWA5B1,1,20489999,20553974,+,63976
RP4-745E8.2,1,20493291,20522267,-,28977
RP4-749H3.1,1,20559659,20630314,-,70656
RP4-749H3.2,1,20611384,20612333,-,950
CAMK2N1,1,20681471,20685300,-,3830
MUL1,1,20698530,20707241,-,8712
RP11-401M16.3,1,20725069,20725831,+,763
FAM43B,1,20751519,20754099,+,2581
CDA,1,20788028,20817988,+,29961
PINK1,1,20832535,20850591,+,18057
PINK1-AS,1,20841737,20851273,-,9537
AL391357.1,1,20849443,20849794,-,352
DDOST,1,20850857,20860587,-,9731
KIF17,1,20863094,20917097,-,54004
RP5-930J4.5,1,20891814,20893093,-,1280
SH2D5,1,20918812,20931917,-,13106
RP5-930J4.2,1,20931960,20933032,+,1073
HP1BP3,1,20941741,20986403,-,44663
RP5-930J4.4,1,20942067,20943042,+,976
EIF4G3,1,21005550,21375964,-,370415
U7,1,21040321,21040382,+,62
MIR1256,1,21187394,21187512,-,119
